BMQDV;yCeTE 2;biGQs 4
WisataBawahLaut;Akhir tahun lalu saya berkesempatan liburan ke jogja, pertama kali dan ekspresinya , wowwww luar biasa...  Apalagi begitu berkunjung ke candi borobudur, dengan nafas yang terengah2 diantara kekaguman keindahannya dan teriknya sang mentari tak mengurungkan niat kami untuk mencapai puncaknya... Takjub, feel excited dan ntah apalagi kata2 yg cocok tuk diungkapkan waktu itu... Begitu teriknya matahari membuat air mineral yg kami bawa berubah suhunya, dari yang berembun keluar dari kulkas berubah menjadi hangat... tapi seberapa pun tantangan yg harus ditempuh akan terbayar saat kita sudah mencapai puncaknya... tidak ada kata selain subhanallah, luar biasa...;Ditulis pada 28 Juni 2013
hezzel1609;sangat menakjubkan n luar biasa kebesaran candi borobudur,,,,yg hanya di buat oleh tangan manusia,,,,,,,,,,amazing,,,,,,,,,,;Ditulis pada 2 Juni 2013
Alimuddin;Candi Borobudur masih menjadi ikon yang utama untuk dikunjungi bila anda ke Jogjakarta, silahkan mampir dulu ke Candi Mendut, anda bisa dengan santai motret relief dan menikmati suasanag candi mendut, jangan lupa membawa air minum bila anda siap naik keatas Candi Borobudur;Ditulis pada 8 Mei 2013
Ninalintang;Magelang Kota Kecil yang bersahabat, dengan penduduknya  yang ramah, saya suka sekali menikmati sekoteng hangat di sore hari. Untuk menikmati perjalanan wisata ke Candi Borobudur banyak pilihan transportasi yang ditawarkan salah satu dengan menumpangi delman. Berasa seperti Noni Belanda... :);Ditulis pada 23 April 2013
amaleka;salah satu kehebatan manusia dalam menciptakan sesuatu..mahakarya tertinggi. gak salah dijadikan seven wonders. sekarang kondisi nya jauh lebih setelah direnovasi dan setelah diguncang gempa.kalo sudah dipuncak borobudur, tengoklah ke arah Gunung Merapi, kita pasti merasa kecil dibanding dengan kehebatanNYA dalam melukiskan kekuasaannya di dunia ini.;Ditulis pada 22 Maret 2013
KUNJUNGANKU;ada positif dan negatif, tetapi kurang memuaskan, berbeda dengan yang dulu.. tetap ada perbaikan untuk wisatawan luar maupun dlam, tetapi untuk dalam negeri lebih diutamakan sebaiknya;Ditulis pada 18 Maret 2013
Andhika A;Saya terakhir mengunjungi candi Borobudur mungkin lebih dari 15 tahun yg lalu.Saya kembali kesini tanpa ekspektasi tinggi, namun cukup surprise melihat kondisi Borobudur saat ini. Lingkungannya sangat bersih, tamannya tertata rapi, namun sayangnya waktu saya kesana beberapa stupanya ditutupi plastik karena sedang ada simulasi bencana.Saya mendapatkan tiket murah karena mengenal orang dalam, sedangkan untuk harga normal kelihatannya cukup mahal.;Ditulis pada 14 Maret 2013
ChandraGunawan;adalah candi budha terbesar didunia dan salah satu 7 keajaiban dunia. kita juga dapat melihat hamparan pegunungan yang indah disisi lainnya.;Ditulis pada 10 Maret 2013
STARINDOTOUR;Candi Borobudur merupakan nama sebuah candi Buddha yang terletak di Desa Borobudur, Kabupaten Magelang, Jawa Tengah. Lokasi candi adalah kurang lebih 100 km di sebelah baratdaya Semarang dan 40 km di sebelah baratlaut Yogyakarta, dan berada pada ketinggian kira- kira 265,4 m di atas permukaan laut.Candi ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra. Candi ini diduga dibangun oleh Raja Samaratungga, salah satu raja Kerajaan Mataram Kuno. Pembangunan candi itu diduga selesai pada 847 M. Menurut Prasasti Klurak (784 M) pembuatan candi ini dibantu oleh seorang guru dari Ghandadwipa (Bengalore) bernama Kumaragacya yang sangat dihormati, dan seorang pangeran dari Kashmir bernama Visvawarman sebagai penasihat yang ahli dalam ajaran Buddha Tantra Vajrayana. Pembangunan candi ini dimulai pada masa Maha Raja Dananjaya yang bergelar Sri Sanggramadananjaya, dilanjutkan oleh putranya, Samaratthungga, dan oleh cucu perempuannya, Dyah Ayu Pramodhawardhani.sangat layak untuk di kunjungi;Ditulis pada 8 Maret 2013
;;
mutayasaroh;Saya masih bisa mengingat ketika SD dulu kompleks wisata candi borobudur belum sebagus sekarang ini. Sekarang kompleksnya bersih, dibangunnya musium-musium membantu wisatawan untuk menganali candi lebih dalam lagi. menarik sekali tamannya, kita bisa berfoto ria, bahkan saya membeli es air tebu yang dijajakan oleh seseorang di sana.;Ditulis pada 2 Maret 2013
RitaEkaZaharA;Datang ke Borobudur berbekal rasa yang sulit untuk diungkapkan. Bersama seorang teman dan anaknya yang masih berusia 3 tahun kami mengelilingi area candi yang luas dan tak henti-henti mengucapkan decak kagum. sungguh sebuah maha karya yang indah. disuguhi pemandangan yang tersaji cantik, cuaca yang teduh dan angin sepoi-sepoi membuat kami tidak merasakan lelah. relief-relief yang terdapat didinding candi bercerita banyak tentang masa lalu, bagai sebuah lembaran sejarah yang terbentang.sebuah buku yang berjudul Borobudur dan Peninggalan Nabi Sulaiman yang menginformasikan bahwa candi ini telah ada sejak masa sebelum masehi. dan ini merupakan arsy nya ratu Balqis (ratu Boko) yang dipindahkan oleh seorang alim yang sakti atas perintah Nabi Sulaiman. wallahu a'lam bish showab.. yang jelas, jika ada kesempatan saya akan datang lagi kesana bersama keluarga.;Ditulis pada 1 Maret 2013
ZakyRF;Meskipun dua kali mengunjungi Candi Borobudur, tak ada rasa bosan saat mengunjunginya, justru rasa kagum akan Keindahan penciptaan karya para pendahulu bangsa menjadi euforia tersendiri. Dari tahun pertama kunjungan saya (2010) sampai agustus 2012 sarana dan prasarana Candi Borobudur semakin diperbaharui dan ditambah. Pengalaman menarik saat kunjungan kesana adalah kita di berikan sehelai kain batik yang digunakan di pinggang sampai dengan lutut, dengan tujuan untuk menghormati Candi Borobudur dan Agama Budha. Pemandangan disekitar Candi juga tidak kalah eksotis. Untuk keseluruhan, tempat ini sangat bagus dan cocok untuk kunjungan Bersama keluarga, sekolah, maupun pasangan.;Ditulis pada 25 Februari 2013
Rofiqoh_D;pengen bareng keluarga kalau mau kesana lagi :*waktu itu perginya sama bubuhan asrama, ngisi waktu liburan.with arum, ayuk, hanny, mba nindy, mas iksan and mba pit si tante.nyesel kaga lama-lama disitu, banyak stand jualan yang belum disinggahi sih, hikk;Ditulis pada 22 Februari 2013
Tanzilchoice;Entah seperti apa Borobudur masa lalu, menurut perkiraan para ahli, Borobudur berada ditepi danau buatan, seperti layaknya bunga teratai, dan dikelilingi candi-candi kecil. Seandainya itu lestari dan benar adanya, wah betapa hebatnya bangsa ini dulu.Borobudur adalah bukti toleransi dan sebuah ikatan dua dinasti (Sanjaya dan Syailendra), dimana dinasti Hindu mendirikan Candi Prambanan dan dinasti Budha mendirikan Borobudur. Kedua dinasti tersebut diikat dalam tali perkawinan, tanpa memaksakan salah satu agamanya.Bagaimana Indonesia sekarang? Leluhur kita mengajarkan toleransi sehingga menjadi bangsa yang besar, tetapi saat ini, bangsa ini tercabik dalam intoleransi, membunuh dan menghancurkan nilai-nilai keluarga atas nama agama. Bagaimana bangsa ini menjadi besar?Bangsa ini hanya bangga pada masa lalu, tanpa peduli lagi masa depan.Lihatlah karya besar Borobudur, dia dibangun karena ujud toleransi;Ditulis pada 19 Februari 2013
Maulana04;Pada saat hari raya waisak  adalah waktu kunjungan terbaik, akan melihat lampion berterbangan di malam hari;Ditulis pada 13 Februari 2013
MbokDe;Tiap kali ke Borobudur, saya tak pernah menghiraukan penjual kacamata hitam, persewaan payung, atau penjual topi lebar. Hingga di liburan akhir tahun 2012, sunburn singgah juga di kulit saya. Magelang itu bukan dataran rendah, tetapi saya heran mengapa di area Borobudur yang notabene terletak di atas bukit, sungguh menyengat terik mataharinya.Namun selain itu, Borobudur tetap masuk dalam daftar wajib tempat yang layak untuk dikunjungi. Hanya saja, kacamata/topi lebar/payung itu sangat diperlukan. Trust me!;Ditulis pada 18 Januari 2013
julius1965;proses restorasi dan perawatan mutlak diperlukan dan oleh karenanya pantas menjadi perhatian utama pihak terkait. kepala-kepala arca yang hilang, terkikisnya relief candi, sedikit mengurangi kepuasan pengunjung.. :(;Ditulis pada 15 Januari 2013
dewi0408;mau tau ttg sejarah indonesia masa lampau.. Wajib datang nih kesini... aroma masa lalu kental terasa.. Kalau yg suka sejarah pasti suka disini.. cuma penjual2 kaki limanya saja yg agak2 nyebelin.;Ditulis pada 15 Januari 2013
atalma r;Tahun ini kita dapat jatah jalan-jalan dari kantor ke Jogjakarta, pastinya salah satu wisatanya candi Borobudur. Bangga banget Indonesia punya bangunan bersejarah yang spektakuler kayak Borobudur, cuma sayang beberapa reliefnya banyak yang tidak dipahat ulang pada waktu renovasi terbaru karena kata pemandunya sih terlalu pornografi (hadeeh cape deh pak). Tapi secara keseluruhan saya dan teman-teman cukup puas dan sangat menikmati wisata borobudur ini. Kalau mau mengunjungi candi ini jangan lupa bawa payung, topi, dan sun block karena puanaaaass banget.;Ditulis pada 20 Desember 2012
;;
kiky639;Bentuk, relief, dan arsitekturnya sesuatu banget heeeeSaya berkunjung lebih dari satu tahun yang lalu ketika liburan bersama keluarga besar saya,, begitu sampai di lokasi hati dan pikiran saya terasa sejuk begitu melihat keindahan candi :);Ditulis pada 7 Desember 2012
DiniHidayanti;Membayangkan nenek moyang kita pada tahun 800 an sudah bisa membuat Candi sehebat itu benar-benar membuat saya terkagum-kagum. Apalagi sekarang wisatanya tidak hanya melihat candi saja akan tetapi ada tilik desa bisa keliling desa naik andhong, ada sendratari mahakarya Borobudur , bahkan ada kegiatan2 di desa sekitar candi seperti Candirejo yang bisa kita ikutin.Mengikuti rutinitas warga desa ke sawah, mandiin gajah, bikin kerajinan, mandi di sungai wis jadi kayak orang aseli situ.;Ditulis pada 2 Desember 2012
Kak_Ica;Saya sudah menunjungi Candi Borobudur berkali-kali dan selalu suka balik. Setiap kali kulihat sesuatu baru dan menarik.Kusarankan jangan kesini kalau anak sekolah liburan - terlalu ramai. Juga lebih baik kalau mengunjungi sekitar jam 6 pagi supaya udaranya masih dingin.;Ditulis pada 21 Oktober 2012
Lovelytya;1 Tahun lalu saya Touring Jawa Tengah dan saat melintasi Kota Magelang,  sayapun mengunjungi Candi Borobudur kembali setelah kunjunganpertama saya 10 tahun yang lalu. Meskipun hanya 30 menit disana dan saya tidak sampai kepuncak stupanya namun tetap saja saya melihat perubahan selama 10 tahun setelah kedatangan saya yang pertama.Memasuki area Borobudur kita disamput dengan plang Borobudur temple disisi kiri jalan dan keasrian kota magelang tidak luput menjadi perhatian kita, selain becak dan kendaraan trayek sejenis minibus yang melintas di area tersebut.Kita juga akan menjumpai Candi Mendut yang berdiri gagah disisi kanan jalan dan terpagar rapih sebagai area situs peninggalan purbakala yang terawat dengan baik, tidak lupa saya pun menyempatkan diri mengabadikan dengan camera handphone.Sesampainya di Area Candi Borobudur kita akan disambut dengan areal parkir yang cukup luas untuk kendaraan, bergegas sayapun segera membeli karcis masuk seharga Rp. 15.000/orang. Karna jarak tempuh yang cukup lumayan jauh untuk mencapai Candi Borobudur maka saya dan kakak saya berjalan setengah berlari.Menyusuri jalan menuju ke Candi Borobudur dapat dicapai sekitar 15-25 menit hanya di area bawah candi. Namun semua tergantung anda akan sampai dipuncak stupa atau tidak karna akan diperlukan waktu lebij dari 1 jam untuk mengelilingi area tersebut.Meskipun saya hanya berada di area tersebut sekitar 30 menit namun memberikan suasana yang berbeda dengan kemegahan candi yang terhampar luas di hadapan kita. Berikut Cuplikan-cuplikan beberapa foto yang sempat saya abadikan sebagai kenangan bagi anda vievers ...;Ditulis pada 14 September 2012
Funniestchild;Candi Borobudur adalah salah satu keajaiban di dunia. Relief-relief di candi ini sarat makna dan filosofi agama Buddha. Walaupun cuaca disini sangat panas sekali namun terbayar dengan keindahan yang disajikan oleh candi ini.;Ditulis pada 28 Juli 2012
Rony Muhamad;Menikmati sunset dan sunrise di candi budha terbesar di dunia ini sangat lah luar biasa indah seakan waktu membawa kita kembali kw masa lalu, keheningan dan sejuknya pagi hari hari serta romansa keteduhan dan mistis di sore hari;Ditulis pada 26 Juli 2012
Tommyiskandar;Guide lokal akan menjelaskan sejarah borobudur. Untuk yg rame2 patungan aja buat sewa guide lokal;Ditulis pada 12 Juni 2012
allodiayuni;saya bilang ini candi sangat luar biasa. luar biasa megahnya, luar biasa cantiknya, luar biasa bersihnya, luar biasa baik pelayanannya.................. dengan tiket masuk 25 rb per orang. KITA TIDAK AKAN MENYESAL harga segitu SANGAT MURAH UNTUK APA YANG KITA DAPATKAN. vasilitas lengkap, petugas sangat ramah, tempat luar biasa bersihnya. keren... ada inet gratis lho.;Ditulis pada 22 Mei 2012
syafiq_azr;tidak terbayang bagaimana membangun Borobudur!!!sebuah bangunan raksasa yang terdiri dari ribuan batu yang ditumpuk dengan banyak relief pula.;Ditulis pada 20 Februari 2012
BungaB;Amazing sm keindahannya, memang capek untuk berjalan menuju ke sana tapi pejuangannya itu terbayar ketika sudah sampai disana. Di candi Borobudur sekarang jg ada tradisi budaya baru, dimana setiap wisatawan yg datang kesana diwajibkan menggunakan kain batik yg telah disediakan oleh pihak pengelola cagar budaya disana. Ketika saya bertanya untuk apa ini digunakan, mereka berkata ini untuk lebih memperkenalkan batik sebagai keanekaragaman budaya di Indonesia.;Ditulis pada 26 Januari 2012
;;
nurulshella;Suatu peninggalan bersejarah yang mengandung nilai seni dan budaya yang sangat luar biasa dan mengagumkan bagi bangsa Indonesia...dan layak dikunjungi untuk para wisatawan dari luar maupun dalam negeri.;Ditulis pada 28 Desember 2011
Gregorius Suharsono;Ini candi yang indah tetapi harga tiket untuk Sunrise di Borobudur akan dikenakan biaya Rp. 350. 000, - untuk bahasa Indonesia danRp. 475. 000, - Untuk orang asing dan masih harus Anda harus berjuang untuk mendapatkan foto matahari terbit karena mereka tidak membatasi penjualan tiket. (Sekitar 300 tamu pada hari saya di sana). Beruntung kita bisa mendapatkan matahari terbit yang sangat indah pada hari kunjungan kita. Setelah pukul 6 pagi, tiket terbuka untuk umum dengan tiket yang jauh lebih murah tapi saya rasa nilainya tidak sama sekali.;Ditulis pada 23 Juli 2019
Celine H;Kami mengunjungi candi Borobudur dengan 2 anak-anak kami dan memiliki panduan berbahasa Perancis (Lina). Dia membuatnya sangat menarik dan menghibur bagi seluruh keluarga dan mengambil banyak foto dari 4 kita.Kuil ini luar biasa indah dan bersih. Kami mengunjunginya di siang hari, tidak ada matahari terbit atau terbenam dan itu sudah hebat!;Ditulis pada 23 Juli 2019
gregatbet;Pengalaman yang luar biasa. Di atas sana dengan Tembok Besar Cina dan Piramida Mesir. Luar biasa melihat bagaimana bangunan ini dibangun. Perjalanan samping ke Yogyakarta juga sangat menyenangkan.;Ditulis pada 2 Juli 2019
trevelyon;Pernah ingin mengunjungi kuil ini untuk tahun. Saya adalah sedikit lebih kecil daripada yang saya pikir orang di. Kami menangkap beberapa cuaca buruk tapi masih sangat bagus. ini adalah berjalan kaki dari pintu masuk ke kuil. Saya menikmati waktu saya di sini.;Ditulis pada 6 Agustus 2017
nedkailua;Kami pergi pada matahari terbenam dan membayar untuk pintu masuk yang memungkinkan Anda untuk tinggal setelah tutup jam untuk menonton matahari terbenam. Rupanya 300 untuk 400 orang muncul untuk Matahari terbit tapi kami hanya memiliki 10 orang dengan kami untuk matahari terbenam.;Ditulis pada 5 Agustus 2017
Jinashri S;. karena ketika kami sampai di sana, segera setelah pintu dibuka, hanya karena saya telah membaca di ulasan - kami diperlakukan untuk pemandangan yang menakjubkan pernikahan antara buatan dan alami! Saya seorang fotografer yang besar dan itu adalah sebuah prestasi ketika saya bisa mengambil foto tanpa memenggal kepala orang berpose untuk itu, tapi saya tidak berhasil mendapatkan foto yang bagus gelap ini disandingkan dengan stupa berwarna langit! Aku bisa menghabiskan sepanjang hari di atas, berjemur di sekitarnya tenang dan minum di pemandangan indah, mencengangkan apa yang akan terlihat seperti dalam Hei hari! Tiket masuk di pintu gerbang yang umum harga IDR 325 ribu untuk dewasa dan untuk anak-anak hingga 195 k 12. Yang termasuk Botol Air - sangat berguna setelah memanjat ke atas! Satu dapat menyewa layanan Panduan Berbahasa Inggris untuk IDR 100 K. Pemandu kami menunggu di titik validasi tiket ketika kami mengunjungi. Panduan kami Trishno sangat sopan dan ramah. Dia menjelaskan bahwa Kuil dibangun pada 1200 tahun lalu dengan batu vulkanik yang dipotong dalam bentuk yang berkaitan. Tidak ada semen, lem atau mengikat Agen telah digunakan untuk menghubungkan konstruksi batu di awal, tetapi selama restorasi di tahun terakhir mereka telah menggunakan mereka di beberapa tempat. Kurangnya materi dapat digunakan untuk mengikat batu beberapa bermain selama gempa bumi dan batu penyelesaian sistem penguncian memastikan kembali ke tempat berikutnya. Candi sudah disajikan sebagai tempat belajar bagi para biksu Buddha. Kembali ke pintu keluar (setelah turun dari candi Rock) adalah sedikit dari sebuah labirin melalui pasar kerajinan, warung makanan dan hal-hal lain, dan itu hanya membuka ketika kami meninggalkan. Kami perlu untuk mengubah uang di taksi. Ada beberapa ATM Dekat oleh dan kami diberi hanya satu tempat penukaran mata uang. Dia adalah ditutup pada saat kami pergi ke sana (sekitar 8 . 30 Jam). Kami dengan mudah menemukan taksi untuk membawa kami ke hotel. Ada juga sewa moped untuk. Ini adalah tempat yang saya akan selalu senang saya mengunjungi, dan mengajak salah satu untuk mengunjungi perasaan magis yang satu pengalaman di atas. Saya yakin saya akan selamanya ingat!;Ditulis pada 5 Agustus 2017
